mint,status,reasons
ExuKvW3M8fax38bNWUg51f3q8SgeN8y4ZDfvnmSNpump,not_scam,
3jvWPFs2eHB3e6yWHpoDHWRv8WqiZKj69XzyYMnEpump,scam,Бандл с девом (индекс: 2)
FxHCk2efRrKnxJSWXCmho2MgfDo59G2B4S8fzc5Qpump,scam,Бандл с девом (индекс: 2)
BsxhdgLEbxdzQdjv2ELn4AqUH9rKyh4tv63hoYp3kFZF,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
2tbaJxDNtQGmNt7H9TzJE4zGt2fa4EnVLpnDckofWdCh,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
2vJhk4yuQ4cg7pb4h9omgDfFzmXZYrUqu6eSbhAKpump,scam,Бандл с девом (индекс: 2)
CCnzmkJgnYKAS6FkYpmrNDqxREtUJUPJAC7SZr4Bpump,scam,Бандл с девом (индекс: 2)
8bP5qtkqGS2imWh6TYi6UPYXdnpVtQvpseMpbnTmsgQP,scam,Бандл с девом (индекс: 4); Минт не заканчивается на 'pump'
Ab9k6RELLn96SYfAYUmPnqNKzBdDACZkiyeJobkopump,scam,Бандл с девом (индекс: 2)
8gHPxqgHj6JQ2sQtMSghQYVN5qRP8wm5T6HNejuwpump,not_scam,
8YomPHdswjZfm7zTQ5TbsMBjfnWYLKVbPrxYs1Ypump,not_scam,
5mNi3v81qSin4bBuPoPTL2b2ZUE9N6WxXJho3BtRpump,not_scam,
ADtDbkE4hsZe5RMs4bXV2derFisVFwH2V3Vv4knPpump,scam,Бандл с девом (индекс: 2)
Cs4uaegB2DCB4pdK3mZ9Uj3DcdXGZwfAwZS7CprPpump,scam,Бандл с девом (индекс: 2)
8CMkEaoKtVE5Cm9qmQmJXpdUCYtfRtz6FcBFqhXbpump,scam,Бандл с девом (индекс: 2)
ExSE1uheh48xcUedD8bGsXFq4tyhYm61TS9VVYxNpump,not_scam,
BSWxHEWneTvU8yPwijif9RF8fT3mBYR8fU5FKFS2pump,not_scam,
FfjR46Hmq6Bz5Hni4gAFymWwFBNKD1meBdWgLvAjpump,not_scam,
2MQBBB452CDL5qSaud6aJRPoPh2ew2pHx9Fuet2Hpump,not_scam,
FDoG8eDLqjCKaSwxH79b1fTXLGPve7iaGttvfvJEpump,not_scam,
6qSE5aDn41LjNUAAGiefndh6xUZyq1iKQNDG77Uvz6tK,scam,Минт не заканчивается на 'pump'
GcTTUG84MLcebSoUeFu2wqpxToicAAu4KcwkvpULpump,not_scam,
8TB839qbTwb6Lf21ccKBc74A2f88ZDLQxxKoHcsVpump,not_scam,
5SwQkNnXW4D4vEk2hFeiev6s3eegU2fE8885fYP9pump,scam,Бандл с девом (индекс: 2)
Asu3Mka8uJfrMXmtotERGU9x8KSQ5pCQgFJbYNNzpump,scam,Бандл с девом (индекс: 2)
95PvnFKpLD4TNc7F4Q4MkuKguqz42ivi6h5hsUaApump,scam,Бандл с девом (индекс: 2)
GsLjrzfmC6eZLySJT7QnmVWBQVK7RoxgUvixkSh6pump,not_scam,
BSbb9pfw9ESS5wjN6QKVckumXSbP84nGkeTjicjKpump,not_scam,
588q5vFJ76Fx3BQX8HhVkSdctaf8EtbmJe9rQgrkpump,not_scam,
6QHEoJNeVVhknjSonyGzniEEDybEiPTs7KGXsUNwpump,not_scam,
5mHD5MpGW6EDpwvCFNrJpLJ5sT4zU1LoYdY3ZZB2pump,not_scam,
DsN2fvK8moRbmZ3bAxgXTdZ815Wzrap2JUhNiX94pump,not_scam,
wqxzi9e4JhPEu9s9Yh7DSXL2sVvYKAm4pNtvsnepump,not_scam,
5C6P5poZDP89aKU7PYj6n7V6uqidZwXLhYabGL1ypump,scam,Бандл с девом (индекс: 2)
AuM4HSDHqCKf3Dre5isfmDowaHsF1LqwfkfwXSyRxJ7H,scam,Минт не заканчивается на 'pump'
5cKaxcoLhjc5A3gUD9nCFRfm69iMiggTHpafz4Gipump,not_scam,
3zJ1QSmnM3WkeShn5iM3ffrzJX3vsihRg6VnPxLgpump,not_scam,
GrL4BkQmYvWTNUtUcqsnskURVWeHzNmrqgrAfaqTpump,scam,Бандл с девом (индекс: 2)
BG3mbKZRKETseejyZyqNrZiB1Ar6rB8KQTERBSHGpump,scam,Бандл с девом (индекс: 2)
GVAq1KttLzMzFJ73MMzLY6c5957WtSN5LLCNWhropump,not_scam,
EU9SUNfzctUGDtSb85GacA3hBVE3kFdyvwRqGrvfJaqu,scam,Минт не заканчивается на 'pump'
2V6Gkb7UA9Ku1KvY6niMpHzZCQy45Km79zdy9gm9pump,not_scam,
7iRXXW9yAvxeWnvqEPwBnEcSZcwfTmSJSDA84x1CTrWM,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
3J7SdHPYjdbH4XJ7zk8LVyNM9y973Dtbxr6rYVYNpump,not_scam,
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,scam,Минт не заканчивается на 'pump'
GNixNWavKGtkwhatUxA8ZYN3WP2hkFcyVycRf6Cwpump,scam,Бандл с девом (индекс: 2)
UBaP8gFW9GJ92VtP135xExEHpFvj7NAHz5KDq1opump,not_scam,
CQWQsEAnpfibCyPwUomeHioYGebycPYxnNsykT2Zpump,not_scam,
EvgJv49q9qddfUETK8MNhvDF13Axybwx3hqKV3Tipump,not_scam,
DG1Tdrs7QKQHXoCxza8D8uiiR9viNmYe6e5S5CCkpump,not_scam,
E848LK2YRJexS6UkTvMzqELtXqf7odpBmbFSMSQKpump,not_scam,
85ZPaVi3dGePrkbjfqn8Z8TTtz5hudd5Ch1CDYDapump,not_scam,
21WamXjuX2LYLegJFtZrevB25MnNFdvscco7ekCypump,not_scam,
5c5SU6Kee2KddqLPEFT3gS75PNStuok4KULSdMbmpump,not_scam,
5gq44v2mEG7KN9chXpNTg74HDLGb5ToLsadPEW5rJZpU,scam,Минт не заканчивается на 'pump'
3GiycnkHkGBvzxKUJAPaYKn97oak6MJrFyYUSAjHpump,not_scam,
9B98YVEYVRpmSEtAug1DagtWaEfk2GtZHTTbr6Kbpump,not_scam,
Gd9LHUzXjhQgeWuwiCLUokJ7K89HPLk8kgP269wPpump,not_scam,
G9PTqmM7oZEPJkkpzMkLoJ5o7heopKANGnC3nQcqpump,not_scam,
4aKp8eTWDvZAUdvquY34tf1zPFokqViEmEngKJF7pump,not_scam,
4vYsvczS8nhqZVTMqvYfhmKQEQ8nd6NBYLnZAyYgQ46M,scam,Минт не заканчивается на 'pump'
4erUwENiJNbsCvSz7eUezEydqNjwWnTxqGFb9Jndpump,not_scam,
7qaQRH87VV63AbsLv28uYjob3QGUih5YNQ2sgoXqpump,not_scam,
7Wu9kARZBdy4YNZ4NsU4EAYitMS1CHk8xzEPHAyHpump,not_scam,
HRe2HKJ4gv2kFvGR2PhkRcuiWY2Fnn87Enf4tGYJpump,not_scam,
HhvBV63tueSg8WFCcPCktJMSDBGodwZVez5JYercpump,not_scam,
EvzZMpCYgb8T1KRvtZHzL8fkE1znU2wpDXYtTqTYpump,not_scam,
E9qT2T2YHfD67X7VKXZ7PWGnhaZ1nYdEBGbx9xbKpump,not_scam,
Du5T1TANDs4de5qFKPThzNCrkYs6Yt96QC3fVAkRpump,not_scam,
6iuVJPVzTr1pzPBK1TCjKQ3QeohveW4CVtvSxMpnpump,not_scam,
4www82zxPchUzkjNtSY8FwkXYPn5vP1i7yVWbdwgpump,scam,Бандл с девом (индекс: 3)
2hXQn7nJbh2XFTxvtyKb5mKfnScuoiC1Sm8rnWydpump,not_scam,
GZucWg3G5YSmnbVCmJa1MRCgyZRzTYyExfnpU9C7pump,not_scam,
Bxi2hMcGGVoKGQqiWUHNBSfXudj2H59Tvwn636G9pump,not_scam,
Ah6j32fbcDwYvmUFQubuCG688YyhScEKYgUUpxZEpump,scam,Бандл с девом (индекс: 2)
C56say1io8uGLCPzxRYtcwoN5JXKc4E8wcSnQJj9pump,not_scam,
8zMVohamT5jRW2eQ8iEzFFcYUtbMLVkuvksZ7ur7pump,not_scam,
GVp2nRsyA1NyZB1uYarrwkWcKwkmapGTdnngfDDDpump,not_scam,
DdyejLaw3eeocdAxFG1b8GqyxqzWUqABTKePfYUWpump,not_scam,
5S5DJWH3JSBfhWh6c2NRmUisLCQ4TKNSMWQvNpvkEEBy,scam,Минт не заканчивается на 'pump'
9CgWmTSsLN3JTLeHTcdsTrZexu5mZUDCvNQ1dS8Zpump,scam,Бандл с девом (индекс: 2)
DRmkhMEPicHoSDsDTE6FscA1Ve4YHjVKftRthzaapump,not_scam,
L2BPUfdK12obTWn6tdLo8qLUsczZ2aqydfnTkMGpump,not_scam,
E3suTus9TiuLZC7Rb9AAdaSUoR54CHTVQk4FAtAtpump,scam,Бандл с девом (индекс: 2)
7Ka8UbM5xeEWbRr8hBaf7jGKAmoFGV5JLs7LNfLRpump,not_scam,
ERmG6hXAzEsRhaHJRXNxEB1zt1XffpezZFHPPsMXpump,not_scam,
C5jxfYR2xwPTgZoDuEh8HerEc7ZpbarwWDBmipPLpump,not_scam,
HsMeHfBDg5w9BEvXcx46futKzUf2iexDonVx7xADpump,not_scam,
rXT1aCsp6q1PmTxdTDwm5NXrykakaMjbVyvbFmYpump,not_scam,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,scam,Минт не заканчивается на 'pump'
DKpD3SRCxjhfCFQ5dCQ4dHjfNXZYSb7Qwspkpbpdpump,not_scam,
FJzj2r6SEAez2oYnwf5wd8pixP9YhY2ayjBcSVLfpump,not_scam,
BGkF4RySV5fJG5PcpUYgMUiPqy66Q8pRuyme95B3pump,scam,Бандл с девом (индекс: 2)
teUWXDEMdPsr1ginnNNw3o83e595GaGU896GYpx78fc,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
CtHkBrV5wjJ9UA5t3DNEYhgmKaLjXtFYs3o5LrAEpump,not_scam,
HYJxi6ZkxwHG5UPakYVDQKJyx2nFUCJwGNp3EqY3pump,not_scam,
